url,localizacao,tipo,area_ha,area_m2,descricao,preco,valor_m2,quartos,suites,vagas,creci
/imovel/rural-3-quartos-venda-zona-rural-ceilandia-df-rodovia-br-070-km-17-st-de-chacaras-agusmao-1096706,"Rodovia BR 070, km 17 St de Chácaras A.Gusmão, ZONA RURAL, CEILANDIA","Venda Rural 0,03 ha",0.03,300.0,Casa com terreno de 4158 metros no Incra 9 por R$ 495.000,495000.0,1.0,3,0,5,30122
/imovel/rural-0-quartos-venda-planaltina-planaltina-df-rodovia-df-130-1229800,"RODOVIA DF 130, PLANALTINA, PLANALTINA","Venda Rural 18,00 ha",18.0,180000.0,,2000000.0,11.0,0,0,0,13747
/imovel/rural-0-quartos-venda-setor-habitacional-fercal-sobradinho-df-rodovia-df-205-230920,"Rodovia DF 205, SETOR HABITACIONAL FERCAL, SOBRADINHO","Venda Rural 125,00 ha",125.0,1250000.0,FAZENDA A VENDA / ACEITA TROCA /  ESCRITURADA/ 61 3595-1212,799000.0,0.0,0,0,0,23202
/imovel/rural-0-quartos-venda-paranoa-paranoa-df-rodovia-df-130-km-31-1220875,"Rodovia DF 130 KM 31, PARANOA, PARANOA","Venda Rural 19,50 ha",19.5,195000.0,,550000.0,2.0,0,0,0,24770
/imovel/rural-0-quartos-venda-estancias-vila-rica-sobradinho-df-rodovia-br-020-km-128-1198092,"Rodovia BR 020 KM 12,8, ESTANCIAS VILA RICA, SOBRADINHO","Venda Rural 0,04 ha",0.04,400.0,Estancias Vila Rica ESCRITURADA E REGISTRADA,1100000.0,2.0,0,0,2,24787
/imovel/rural-3-quartos-venda-zona-rural-sobradinho-df-rodovia-df-250-km-12-fazenda-velha-1116987,"Rodovia DF 250 Km 12 Fazenda Velha, ZONA RURAL, SOBRADINHO","Venda Rural 6,24 ha",6.24,62400.0,Chácara à Venda em Paranoá - DF250 - ...,1550000.0,24.0,3,1,10,25364
/imovel/rural-4-quartos-venda-brazlandia-brazlandia-df-nucleo-rural-incra-7-1195264,"Núcleo Rural Incra 7, BRAZLANDIA, BRAZLANDIA","Venda Rural 5,00 ha",5.0,50000.0,"Chácara com 5 Hectares à Venda - Casa Ampla, Produção Agrícola e Localização Privilegiada!",2500000.0,50.0,4,1,20,24313
/imovel/rural-0-quartos-venda-sudoeste-brasilia-df-rodovia-df-180-1111282,"Rodovia DF 180, SUDOESTE, BRASILIA","Venda Rural 22,50 ha",22.5,225000.0,Chácara Escriturada - Zona Rural - Próxima a cidade 22 hectares - Aceita financiamento,2800000.0,12.0,0,0,0,30954
/imovel/rural-3-quartos-venda-recanto-das-emas-recanto-das-emas-df-rodovia-df-280-1142729,"RODOVIA DF 280, RECANTO DAS EMAS, RECANTO DAS EMAS","Venda Rural 2,90 ha",2.9,29000.0,Sítio 40 Km de Brasília - 30.000m - Lazer completo,1999000.0,68.0,3,2,23,30954
/imovel/rural-0-quartos-venda-zona-rural-brazlandia-df-zona-rural-1153481,"Zona Rural, ZONA RURAL, BRAZLANDIA","Venda Rural 0,07 ha",0.07,700.0000000000001,"Sítio de Alto Padrão Próximo a Brasília | 700m² Construídos Sítio Oásis BR-080, KM 10 - Brazlândia, Brasília - DF",6000000.0,8.0,0,0,20,27917
/imovel/rural-0-quartos-venda-sobradinho-sobradinho-df-area-rural-1035198,"AREA RURAL, SOBRADINHO, SOBRADINHO","Venda Rural 78,00 ha",78.0,780000.0,córrego e muitas nascentes dentro do terreno,3100000.0,3.0,0,0,3,24770
/imovel/rural-4-quartos-venda-quinta-dos-ipes-sao-sebastiao-df-condominio-quinta-dos-ipes-1173724,"Condomínio Quinta dos Ipes, QUINTA DOS IPES, SAO SEBASTIAO","Venda Rural 0,04 ha",0.04,400.0,VENDA DE CHACARA,550000.0,1.0,4,2,20,25363
